"SPECIES_NAME","ID_PLACE","year","effort2","count"
"a",1,2005,3.55230370536447,2
"b",1,2005,15.1243484246079,11
"c",1,2005,7.20057060173713,4
"a",2,2005,12.6240545252804,5
"b",2,2005,9.27335475175641,5
"c",2,2005,7.12163176457398,8
"a",3,2005,19.7311538364738,7
"b",3,2005,2.59962883801199,3
"c",3,2005,18.1265535918064,6
"a",4,2005,15.4616918482352,10
"b",4,2005,12.5454538685735,10
"c",4,2005,7.7142645472195,6
"a",5,2005,19.7171649390366,8
"b",5,2005,5.32914107991382,6
"c",5,2005,10.8708535828628,4
"a",6,2005,14.4642984925304,5
"b",6,2005,16.5827126468066,9
"c",6,2005,17.0761852802243,7
"a",7,2005,10.9805923711974,6
"b",7,2005,3.03077691816725,9
"c",7,2005,4.90208586538211,5
"a",8,2005,19.1984384723473,7
"b",8,2005,1.91832994483411,6
"c",8,2005,15.6403378795367,8
"a",9,2005,6.26829067547806,2
"b",9,2005,19.0900890789926,8
"c",9,2005,13.7461215704679,3
"a",10,2005,14.4292607659008,12
"b",10,2005,17.9025984087493,10
"c",10,2005,15.2764765180182,4
"a",11,2005,17.3498956267722,8
"b",11,2005,1.15946804173291,5
"c",11,2005,14.5143052497879,6
"a",12,2005,19.701041296823,5
"b",12,2005,11.7038246677257,4
"c",12,2005,10.1203544905875,6
"a",13,2005,10.2168284927029,5
"b",13,2005,1.7504473826848,5
"c",13,2005,12.4656171982642,4
"a",14,2005,1.69123494252563,5
"b",14,2005,18.4273073419463,9
"c",14,2005,15.2765796408057,6
"a",15,2005,4.4295299758669,3
"b",15,2005,5.65457450947724,3
"c",15,2005,18.7423399463296,2
"a",16,2005,17.0800034953281,5
"b",16,2005,18.4911590467673,7
"c",16,2005,3.40578498551622,4
"a",17,2005,8.96009749965742,13
"b",17,2005,14.0870120711625,4
"c",17,2005,11.7945117477793,6
"a",18,2005,13.9211502308026,8
"b",18,2005,4.59524651709944,3
"c",18,2005,19.7972798342817,6
"a",19,2005,3.21926608169451,5
"b",19,2005,18.4833596621174,8
"c",19,2005,8.66654483531602,5
"a",20,2005,18.0947545869276,5
"b",20,2005,10.1562584911007,3
"c",20,2005,5.44880763627589,7
"a",21,2005,7.19116050912999,3
"b",21,2005,1.25856781075709,4
"c",21,2005,7.7184525153134,6
"a",22,2005,7.10761510347947,6
"b",22,2005,12.7976265668403,5
"c",22,2005,12.708957063267,6
"a",23,2005,14.622511016205,4
"b",23,2005,15.7541382308118,7
"c",23,2005,6.72321278508753,12
"a",24,2005,12.461240418721,7
"b",24,2005,1.59224146371707,5
"c",24,2005,4.11902866046876,4
"a",25,2005,11.18118216726,8
"b",25,2005,14.7902659610845,7
"c",25,2005,15.4423100638669,6
"a",26,2005,6.19269031193107,3
